edgeID,startNode,endNode
FHALL00901_FHALL00801,FHALL00901,FHALL00801
ELABS00201_EHALL03001,ELABS00201,EHALL03001
bPARK00801_bPARK00901,bPARK00801,bPARK00901
bPARK01101_bPARK01301,bPARK01101,bPARK01301
bPARK00401_bWALK00101,bPARK00401,bWALK00101
FHALL01401_FHALL01101,FHALL01401,FHALL01101
EHALL03001_WELEV00H01,EHALL03001,WELEV00H01
bCONF00101_GHALL01601,bCONF00101,GHALL01601
EHALL03301_ESTAI00401,EHALL03301,ESTAI00401
GSTAI01301_GHALL01401,GSTAI01301,GHALL01401
WELEV00H01_EHALL01301,WELEV00H01,EHALL01301
FHALL02601_FHALL03101,FHALL02601,FHALL03101
GHALL01501_GHALL01601,GHALL01501,GHALL01601
EHALL02601_bCONF00401,EHALL02601,bCONF00401
bPARK00701_bPARK00801,bPARK00701,bPARK00801
bPARK02301_bPARK02401,bPARK02301,bPARK02401
bWALK01101_bCONF00301,bWALK01101,bCONF00301
GEXIT00101_GSTAI01301,GEXIT00101,GSTAI01301
GHALL02401_GHALL01701,GHALL02401,GHALL01701
FHALL00801_bCONF00601,FHALL00801,bCONF00601
bWALK01001_bWALK01101,bWALK01001,bWALK01101
bCONF00301_bWALK01301,bCONF00301,bWALK01301
ADEPT00101_AHALL00401,ADEPT00101,AHALL00401
GHALL02401_GHALL00601,GHALL02401,GHALL00601
GHALL01401_GHALL01501,GHALL01401,GHALL01501
EDEPT00401_EHALL03301,EDEPT00401,EHALL03301
FHALL02401_FHALL02201,FHALL02401,FHALL02201
bWALK00501_bWALK00601,bWALK00501,bWALK00601
AHALL00401_AHALL00801,AHALL00401,AHALL00801
bWALK00501_GEXIT00101,bWALK00501,GEXIT00101
EHALL02101_EHALL02201,EHALL02101,EHALL02201
bWALK00701_FHALL02601,bWALK00701,FHALL02601
bPARK01801_bPARK02001,bPARK01801,bPARK02001
bPARK00501_bPARK01001,bPARK00501,bPARK01001
EHALL02601_EDEPT00201,EHALL02601,EDEPT00201
GHALL00801_GHALL01601,GHALL00801,GHALL01601
bPARK02001_bPARK02301,bPARK02001,bPARK02301
EDEPT00401_EHALL03101,EDEPT00401,EHALL03101
FHALL01501_FHALL01401,FHALL01501,FHALL01401
bWALK00801_bWALK00901,bWALK00801,bWALK00901
AHALL00601_AHALL00501,AHALL00601,AHALL00501
bWALK00401_bWALK00501,bWALK00401,bWALK00501
bWALK00301_bWALK00401,bWALK00301,bWALK00401
EEXIT00201_EHALL02001,EEXIT00201,EHALL02001
EHALL02501_EHALL02801,EHALL02501,EHALL02801
FHALL02501_FHALL02601,FHALL02501,FHALL02601
GHALL02101_GHALL02801,GHALL02101,GHALL02801
bPARK01301_bPARK01601,bPARK01301,bPARK01601
GHALL00601_GSTAI01301,GHALL00601,GSTAI01301
AHALL00701_AHALL00501,AHALL00701,AHALL00501
EDEPT00201_EDEPT00301,EDEPT00201,EDEPT00301
FHALL02401_FHALL02501,FHALL02401,FHALL02501
EHALL02801_EHALL03001,EHALL02801,EHALL03001
EDEPT00301_EHALL02101,EDEPT00301,EHALL02101
bCONF00201_GHALL02801,bCONF00201,GHALL02801
EEXIT00201_bCONF00501,EEXIT00201,bCONF00501
FHALL01101_FHALL00901,FHALL01101,FHALL00901
AHALL00801_AHALL00301,AHALL00801,AHALL00301
FHALL02201_bCONF00601,FHALL02201,bCONF00601
GEXIT00101_GHALL02101,GEXIT00101,GHALL02101
EHALL02501_EHALL02601,EHALL02501,EHALL02601
bPARK01601_bPARK02301,bPARK01601,bPARK02301
EHALL03601_bWALK01101,EHALL03601,bWALK01101
bPARK00101_bPARK00701,bPARK00101,bPARK00701
EHALL01901_EDEPT00201,EHALL01901,EDEPT00201
bPARK00301_bPARK00401,bPARK00301,bPARK00401
AHALL00201_bCONF00101,AHALL00201,bCONF00101
GHALL02401_GHALL02101,GHALL02401,GHALL02101
GHALL00701_GHALL00801,GHALL00701,GHALL00801
bPARK01101_bPARK01801,bPARK01101,bPARK01801
WELEV00H01_ESTAI00401,WELEV00H01,ESTAI00401
FHALL03101_EHALL01901,FHALL03101,EHALL01901
EHALL03601_EHALL03301,EHALL03601,EHALL03301
bWALK00901_FHALL02601,bWALK00901,FHALL02601
GHALL01701_bCONF00101,GHALL01701,bCONF00101
bPARK01701_bPARK02401,bPARK01701,bPARK02401
EHALL01901_EHALL02001,EHALL01901,EHALL02001
bWALK01301_bPARK02401,bWALK01301,bPARK02401
bWALK00801_bWALK01001,bWALK00801,bWALK01001
bCONF00201_bCONF00101,bCONF00201,bCONF00101
AHALL00301_AHALL00201,AHALL00301,AHALL00201
EHALL01301_EHALL02501,EHALL01301,EHALL02501
AHALL00601_AHALL00301,AHALL00601,AHALL00301
bWALK00201_bWALK00301,bWALK00201,bWALK00301
bCONF00401_bPARK01801,bCONF00401,bPARK01801
bPARK01001_bPARK00901,bPARK01001,bPARK00901
GHALL00701_GHALL01701,GHALL00701,GHALL01701
bWALK00601_bEXIT00401,bWALK00601,bEXIT00401
ADEPT00101_AHALL00201,ADEPT00101,AHALL00201
EHALL02001_ELABS00101,EHALL02001,ELABS00101
EHALL02201_EHALL02301,EHALL02201,EHALL02301
GHALL00601_GHALL00701,GHALL00601,GHALL00701
