nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
DHALL03502,3955,829,2,15 Francis,HALL,Hallway 35 Floor 5,Hallway D3502
DHALL05802,3420,853,2,15 Francis,HALL,Hallway 58 Floor 2,Hallway D5802
bPARK00901,607,2086,1,Parking,HALL,Left Parking Lot Spot 9,LLot9
IHALL00103,2255,1290,3,45 Francis,HALL,Hallway Node 1,H1
BDEPT00102,2260,786,2,45 Francis,HALL,Comprehensive Breast Health,DEPT B0102
DHALL02402,4295,475,2,15 Francis,HALL,Hallway 24 Floor 4,Hallway D2402
WELEV00KL2,2215,973,L2,45 Francis,HALL,Elevator K Floor L2,Elevator KL2
GDEPT02402,1578,1932,2,Shapiro,HALL,Watkins A Node 24 Floor 2 Floor 2,Watkins A
AHALL00601,1604,2862,1,BTM,HALL,Hall,Hall
DHALL04702,3654,803,2,15 Francis,HALL,Hallway 47 Floor 6,Hallway D4702
AHALL004L2,1696,2687,L2,BTM,HALL,Hall,Hall
bCONF00201,1276,2215,1,Shapiro,HALL,1234,1234
DHALL05702,3510,790,2,15 Francis,HALL,Hallway 57 Floor 2,Hallway D5702
EHALL02801,2925,1064,1,45 Francis,HALL,Hallway Node 26 Floor 1,HallE26
BINFO00202,3136,963,2,45 Francis,HALL,Valet Service Level 2,INFO B0202
CSERV001L1,2490,1043,L1,45 Francis,HALL,Volunteers Floor L1,Service C001L1
ELABS00201,2790,1293,1,45 Francis,HALL,Ambulatory X-Ray Floor 1,X-Ray 1
bPARK00801,518,2086,1,Parking,HALL,Left Parking Lot Spot 8,LLot8
ASTAI00102,1666,2601,2,BTM,HALL,Stairs Floor 2,Stairs Floor 2
GSTAI02602,1686,1931,2,Shapiro,HALL,Stairs Node 26 Floor 2,Floor 2 Stairs Upper
FHALL00801,1752,850,1,Tower,HALL,Tower Hallway 1,Hallway F00801
DHALL02302,4283,433,2,15 Francis,HALL,Hallway 23 Floor 4,Hallway D2302
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall
WELEV00LL1,1785,924,L1,Tower,HALL,Elevator L Floor L1,Elevator LL1
WELEV00LL2,1785,924,L2,Tower,HALL,Elevator L Floor L2,Elevator LL2
IHALL01203,2220,1034,3,45 Francis,HALL,Hallway Node 12,H12
bCONF00301,3158,1539,1,park,HALL,2345,2435
BHALL00902,2330,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902
ELABS00101,3055,738,1,45 Francis,HALL,Asthma Research Floor 1,Asthma 1
DHALL03702,3970,879,2,15 Francis,HALL,Hallway 37 Floor 5,Hallway D3702
DHALL01402,4570,455,2,15 Francis,HALL,Hallway 14 Floor 3,Hallway D1402
bPARK00701,151,2086,1,Parking,HALL,Left Parking Lot Spot 7,LLot7
IHALL02203,2363,764,3,45 Francis,HALL,Hallway Node 22,H22
BDEPT00302,2385,753,2,45 Francis,HALL,Lee Bell Breast Center,DEPT B0302
bWALK01101,2604,1539,1,Parking,HALL,Francis Top Sidewalk 2,FrancisSidewalk2
BREST00402,2554,1389,2,45 Francis,HALL,Restroom 4 Level 2,REST B0402
AELEV00S02,1527,2777,2,BTM,HALL,Elevator S 02,Elevator S 2
AHALL00801,1532,2737,1,BTM,HALL,Hall,Hall
DHALL00302,4725,995,2,15 Francis,HALL,Hallway 3 Floor 2,Hallway D0302
HHALL01103,1690,820,3,Tower,HALL,Hallway Connector 11 Floor 3,Hallway H01103
WELEV00ML2,1820,1280,L2,Tower,HALL,Elevator M Floor L2,Elevator ML2
bHALL00202,1627,2094,2,45 Francis,HALL,Hall,Hall
bCONF00401,3364,980,1,Francis,HALL,765,65
DHALL01302,4545,460,2,15 Francis,HALL,Hallway 13 Floor 3,Hallway D1302
HHALL00102,1875,925,2,Tower,HALL,Hallway Connector 1 Floor 2,Hallway H00102
HHALL00103,1325,655,3,Tower,HALL,Hallway Connector 1 Floor 3,Hallway H00103
GHALL009L2,1578,2031,L2,Shapiro,HALL,Hallway MapNode 9 Floor L2,Hall
BDEPT00402,2439,902,2,45 Francis,HALL,Jen Center for Primary Care,DEPT B0402
DLABS00102,3828,777,2,15 Francis,HALL,MRI Associates Floor 2,MRI Associates
bWALK01001,2469,1539,1,Parking,HALL,Francis Top Sidewalk 1,FrancisSidewalk1
