edgeID,startNode,endNode
IHALL01303_IHALL00203,IHALL01303,IHALL00203
AHALL00302_AHALL00202,AHALL00302,AHALL00202
GHALL02202_GHALL02302,GHALL02202,GHALL02302
ACONF00103_AHALL00503,ACONF00103,AHALL00503
CHALL011L1_WELEV00JL1,CHALL011L1,WELEV00JL1
HHALL00902_WELEV00M02,HHALL00902,WELEV00M02
WELEV00M02_WELEV00M03,WELEV00M02,WELEV00M03
FHALL00901_FHALL00801,FHALL00901,FHALL00801
GHALL002L1_GHALL003L1,GHALL002L1,GHALL003L1
ELABS00201_EHALL03001,ELABS00201,EHALL03001
WELEV00KL2_WELEV00KL1,WELEV00KL2,WELEV00KL1
BSTAI00602_WELEV00E02,BSTAI00602,WELEV00E02
GHALL01002_GDEPT00702,GHALL01002,GDEPT00702
BHALL00602_BHALL01802,BHALL00602,BHALL01802
HHALL00603_HHALL00703,HHALL00603,HHALL00703
WHALL00202_DDEPT00402,WHALL00202,DDEPT00402
IHALL01303_IHALL01403,IHALL01303,IHALL01403
DHALL03302_DHALL04202,DHALL03302,DHALL04202
IHALL00103_IHALL00203,IHALL00103,IHALL00203
BDEPT00802_BSTAI00602,BDEPT00802,BSTAI00602
DHALL01802_DHALL02602,DHALL01802,DHALL02602
WHALL00702_WHALL00802,WHALL00702,WHALL00802
DHALL03902_DREST00202,DHALL03902,DREST00202
BHALL00902_BHALL03702,BHALL00902,BHALL03702
DHALL05402_DHALL05502,DHALL05402,DHALL05502
DHALL02802_DHALL02902,DHALL02802,DHALL02902
AHALL00603_AHALL00503,AHALL00603,AHALL00503
bPARK00801_bPARK00901,bPARK00801,bPARK00901
DHALL04202_DHALL04502,DHALL04202,DHALL04502
BHALL00602_BHALL00702,BHALL00602,BHALL00702
DHALL01602_DHALL01702,DHALL01602,DHALL01702
IHALL00703_IDEPT00403,IHALL00703,IDEPT00403
CSERV001L2_CLABS002L2,CSERV001L2,CLABS002L2
DHALL03102_DHALL03302,DHALL03102,DHALL03302
BHALL02002_BHALL02102,BHALL02002,BHALL02102
bPARK01101_bPARK01301,bPARK01101,bPARK01301
DHALL00502_DHALL00602,DHALL00502,DHALL00602
DHALL02002_DHALL02102,DHALL02002,DHALL02102
bHALL00202_GHALL03202,bHALL00202,GHALL03202
bPARK00401_bWALK00101,bPARK00401,bWALK00101
IHALL01903_IHALL02003,IHALL01903,IHALL02003
BHALL00202_BSTAI00202,BHALL00202,BSTAI00202
CHALL008L2_CHALL009L2,CHALL008L2,CHALL009L2
GHALL01102_GHALL01202,GHALL01102,GHALL01202
GHALL02702_GSTAI02602,GHALL02702,GSTAI02602
FHALL01401_FHALL01101,FHALL01401,FHALL01101
BDEPT00602_BHALL03302,BDEPT00602,BHALL03302
CHALL007L2_CHALL008L2,CHALL007L2,CHALL008L2
DHALL02202_DSTAI00302,DHALL02202,DSTAI00302
BSTAI01002_WELEV00K02,BSTAI01002,WELEV00K02
EHALL03001_WELEV00H01,EHALL03001,WELEV00H01
bCONF00101_GHALL01601,bCONF00101,GHALL01601
BHALL00602_BREST00202,BHALL00602,BREST00202
EHALL03301_ESTAI00401,EHALL03301,ESTAI00401
GSTAI01301_GHALL01401,GSTAI01301,GHALL01401
IHALL01203_IHALL01503,IHALL01203,IHALL01503
GHALL00203_GHALL00303,GHALL00203,GHALL00303
IHALL01303_IHALL01203,IHALL01303,IHALL01203
WELEV00M03_HHALL00503,WELEV00M03,HHALL00503
IHALL00203_IHALL00303,IHALL00203,IHALL00303
WELEV00H01_EHALL01301,WELEV00H01,EHALL01301
AHALL002L2_AHALL001L2,AHALL002L2,AHALL001L2
GELEV00N02_GELEV00N03,GELEV00N02,GELEV00N03
HHALL00503_HSTAI00103,HHALL00503,HSTAI00103
CHALL009L1_CHALL010L1,CHALL009L1,CHALL010L1
FHALL02601_FHALL03101,FHALL02601,FHALL03101
GHALL01501_GHALL01601,GHALL01501,GHALL01601
WELEV00LL2_WELEV00L02,WELEV00LL2,WELEV00L02
WELEV00LL2_WELEV00L03,WELEV00LL2,WELEV00L03
EHALL02601_bCONF00401,EHALL02601,bCONF00401
GHALL01202_GHALL01002,GHALL01202,GHALL01002
GELEV00QL1_GELEV00Q03,GELEV00QL1,GELEV00Q03
bPARK00701_bPARK00801,bPARK00701,bPARK00801
bPARK02301_bPARK02401,bPARK02301,bPARK02401
PHALL00102_DHALL02602,PHALL00102,DHALL02602
GELEV00QL1_GELEV00Q02,GELEV00QL1,GELEV00Q02
bWALK01101_bCONF00301,bWALK01101,bCONF00301
AHALL00602_AHALL00102,AHALL00602,AHALL00102
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1
AHALL00402_AHALL00302,AHALL00402,AHALL00302
GHALL01103_GREST01203,GHALL01103,GREST01203
WELEV00JL1_WELEV00J03,WELEV00JL1,WELEV00J03
WHALL001L2_CHALL005L2,WHALL001L2,CHALL005L2
WELEV00JL1_WELEV00J02,WELEV00JL1,WELEV00J02
GHALL00803_GSTAI00903,GHALL00803,GSTAI00903
WHALL00103_WHALL00203,WHALL00103,WHALL00203
HHALL00302_WHALL00302,HHALL00302,WHALL00302
GHALL003L1_GHALL004L1,GHALL003L1,GHALL004L1
GEXIT00101_GSTAI01301,GEXIT00101,GSTAI01301
WELEV00JL2_WELEV00JL1,WELEV00JL2,WELEV00JL1
GHALL02401_GHALL01701,GHALL02401,GHALL01701
