nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
bPARK00901,607,2086,1,Parking,HALL,Left Parking Lot Spot 9,LLot9
AHALL00601,1604,2862,1,BTM,HALL,Hall,Hall
bCONF00201,1276,2215,1,Shapiro,HALL,1234,1234
EHALL02801,2925,1064,1,45 Francis,HALL,Hallway Node 26 Floor 1,HallE26
ELABS00201,2790,1293,1,45 Francis,HALL,Ambulatory X-Ray Floor 1,X-Ray 1
bPARK00801,518,2086,1,Parking,HALL,Left Parking Lot Spot 8,LLot8
FHALL00801,1752,850,1,Tower,HALL,Tower Hallway 1,Hallway F00801
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall
bCONF00301,3158,1539,1,park,HALL,2345,2435
ELABS00101,3055,738,1,45 Francis,HALL,Asthma Research Floor 1,Asthma 1
bPARK00701,151,2086,1,Parking,HALL,Left Parking Lot Spot 7,LLot7
bWALK01101,2604,1539,1,Parking,HALL,Francis Top Sidewalk 2,FrancisSidewalk2
AHALL00801,1532,2737,1,BTM,HALL,Hall,Hall
bCONF00401,3364,980,1,Francis,HALL,765,65
bWALK01001,2469,1539,1,Parking,HALL,Francis Top Sidewalk 1,FrancisSidewalk1
EHALL01901,2951,885,1,45 Francis,HALL,Hallway Node 17 Floor 1,HallE17
bCONF00501,3057,623,1,Francis,HALL,re,re
bPARK01801,3364,1130,1,Parking,HALL,Right Parking Lot Spot 8,RLot8
GSTAI01301,1752,2015,1,Shapiro,HALL,Staircase MapNode 13 Floor 1,Southbound Stairs Floor 1
bPARK00501,674,1893,1,Parking,HALL,Left Parking Lot Spot 5,LLot5
FHALL02601,2013,1238,1,Tower,HALL,Lobby Hallway 4,Hallway F02601
bEXIT00401,1752,1389,1,Parking,HALL,75 Francis Lobby Entrance,FrancisLobbyEnt
bPARK01701,3158,1279,1,Parking,HALL,Right Parking Lot Spot 7,RLot7
AHALL00201,1607,2569,1,BTM,HALL,Hall,Hall
FHALL01401,1627,1029,1,Tower,HALL,Tower Hallway 6,Hallway F01401
bWALK00901,2135,1238,1,Parking,HALL,Francis Drop Off Sidewalk 2,FrancisDrop2
GHALL00601,1703,2015,1,Shapiro,HALL,Hallway MapNode 6 Floor 1,Hall
