edgeID,startNode,endNode
bPARK00101_bWALK00101,bPARK00101,bWALK00101
bPARK00201_bWALK00101,bPARK00201,bWALK00101
bPARK00301_bWALK00101,bPARK00301,bWALK00101
bPARK00401_bWALK00101,bPARK00401,bWALK00101
bPARK00501_bWALK00101,bPARK00501,bWALK00101
bPARK00601_bWALK00101,bPARK00601,bWALK00101
bPARK00701_bWALK00101,bPARK00701,bWALK00101
bPARK00801_bWALK00101,bPARK00801,bWALK00101
bPARK00901_bWALK00101,bPARK00901,bWALK00101
bPARK01001_bWALK00101,bPARK01001,bWALK00101
bWALK00101_bWALK00201,bWALK00101,bWALK00201
bWALK00201_bWALK00301,bWALK00201,bWALK00301
bWALK00301_bWALK00401,bWALK00301,bWALK00401
bWALK00401_bEXIT00101,bWALK00401,bWALK00501
bWALK00501_bWALK00601,bWALK00501,bWALK00601
bWALK00601_bWALK00701,bWALK00601,bWALK00701
bWALK00701_bWALK00801,bWALK00701,bWALK00801
bWALK00801_bWALK00901,bWALK00801,bWALK00901
bWALK00901_bEXIT00201,bWALK00901,bEXIT00201
bEXIT00201_bEXIT00101,bEXIT00201,bEXIT00101
bWALK00801_bWALK01001,bWALK00801,bWALK01001
bWALK01001_bWALK01101,bWALK01001,bWALK01101
bWALK01101_bWALK01201,bWALK01101,bWALK01201 
bWALK01201_bWALK01301,bWALK01201,bWALK01301
bWALK01301_bWALK01401,bWALK01301,bWALK01401
bWALK01401_bWALK01501,bWALK01401,bWALK01501
bWALK01501_bWALK01601,bWALK01501,bWALK01601
bPARK01101_bWALK01501,bPARK01101,bWALK01501
bPARK01201_bWALK01501,bPARK01201,bWALK01501
bPARK01301_bWALK01501,bPARK01301,bWALK01501
bPARK01401_bWALK01501,bPARK01401,bWALK01501
bPARK01501_bWALK01501,bPARK01501,bWALK01501
bPARK01601_bWALK01501,bPARK01601,bWALK01501
bPARK01701_bWALK01501,bPARK01701,bWALK01501
bPARK01801_bWALK01601,bPARK01801,bWALK01601
bPARK01901_bWALK01601,bPARK01901,bWALK01601
bPARK02001_bWALK01601,bPARK02001,bWALK01601
bPARK02101_bWALK01601,bPARK02101,bWALK01601
bPARK02201_bWALK01601,bPARK02201,bWALK01601
bPARK02301_bWALK01601,bPARK02301,bWALK01601
bPARK02401_bWALK01601,bPARK02401,bWALK01601
bPARK02501_bWALK01601,bPARK02501,bWALK01601
