edgeID,startNode,endNode
bPARK00101_bWALK00101,bPARK00101,bWALK00101
bPARK00201_bWALK00101,bPARK00201,bWALK00101
bPARK00301_bWALK00101,bPARK00301,bWALK00101
bPARK00401_bWALK00101,bPARK00401,bWALK00101
bPARK00501_bWALK00101,bPARK00501,bWALK00101
bPARK00601_bWALK00101,bPARK00601,bWALK00101
bPARK00701_bWALK00101,bPARK00701,bWALK00101
bPARK00801_bWALK00101,bPARK00801,bWALK00101
bPARK00901_bWALK00101,bPARK00901,bWALK00101
bPARK01001_bWALK00101,bPARK01001,bWALK00101
bWALK00101_bWALK00201,bWALK00101,bWALK00201
bWALK00201_bWALK00301,bWALK00201,bWALK00301
bWALK00301_bWALK00401,bWALK00301,bWALK00401
bWALK00401_bEXIT00101,bWALK00401,bEXIT00101
bWALK00401_bEXIT00201,bWALK00401,bEXIT00201
bWALK00501_bWALK00301,bWALK00501,bWALK00301
bWALK00501_bWALK00601,bWALK00501,bWALK00601
bWALK00601_bWALK00701,bWALK00601,bWALK00701
bWALK00701_bWALK00801,bWALK00701,bWALK00801
bWALK00801_bWALK00901,bWALK00801,bWALK00901
bPARK01101_bWALK00801,bPARK01101,bWALK00801
bPARK01201_bWALK00801,bPARK01201,bWALK00801
bPARK01301_bWALK00801,bPARK01301,bWALK00801
bPARK01401_bWALK00801,bPARK01401,bWALK00801
bPARK01501_bWALK00801,bPARK01501,bWALK00801
bPARK01601_bWALK00801,bPARK01601,bWALK00801
bPARK01701_bWALK00801,bPARK01701,bWALK00801
bPARK01801_bWALK00901,bPARK01801,bWALK00901
bPARK01901_bWALK00901,bPARK01901,bWALK00901
bPARK02001_bWALK00901,bPARK02001,bWALK00901
bPARK02101_bWALK00901,bPARK02101,bWALK00901
bPARK02201_bWALK00901,bPARK02201,bWALK00901
bPARK02301_bWALK00901,bPARK02301,bWALK00901
bPARK02401_bWALK00901,bPARK02401,bWALK00901
bPARK02501_bWALK00901,bPARK02501,bWALK00901
